epoch	loss	acc	val_loss	val_acc
0	1.587293	0.258621	1.525892	0.279315
1	1.445299	0.358621	1.330919	0.429878
2	1.324796	0.425862	1.229720	0.530253
3	1.249084	0.479965	1.111646	0.509381
4	1.108283	0.524138	1.015850	0.560038
5	1.087302	0.539655	1.049566	0.560272
6	1.001450	0.586237	0.932320	0.620310
7	0.902073	0.639655	0.868040	0.649625
8	0.919559	0.615517	0.910611	0.619371
9	0.799515	0.680314	0.874148	0.639540
10	0.755725	0.706897	0.807971	0.660178
11	0.758569	0.680172	0.846389	0.649390
12	0.714744	0.716028	0.893059	0.689728
13	0.674362	0.735345	0.779215	0.680113
14	0.628466	0.736207	0.740930	0.669090
15	0.627136	0.743031	0.822018	0.659944
16	0.573832	0.763793	0.826798	0.660882
17	0.548948	0.790517	0.910149	0.660413
18	0.497962	0.794828	0.771129	0.660413
19	0.501438	0.808362	0.833817	0.690197
20	0.531264	0.805172	0.837733	0.709428
21	0.500465	0.800862	0.811077	0.700750
22	0.464211	0.824913	0.844276	0.699812
23	0.405798	0.846552	0.906089	0.639775
24	0.474684	0.809483	0.825193	0.690197
25	0.388215	0.848432	0.862017	0.700047
26	0.402018	0.837931	0.893557	0.690901
27	0.372506	0.849138	0.873097	0.689962
28	0.324264	0.869338	0.947481	0.710131
29	0.310983	0.872414	0.946271	0.660178
