epoch	loss	acc	val_loss	val_acc
0	1.594537	0.254310	1.513205	0.301126
1	1.483177	0.331034	1.403645	0.359522
2	1.378813	0.412069	1.237310	0.399625
3	1.253299	0.470383	1.130122	0.460835
4	1.167180	0.503448	1.060873	0.529081
5	1.100779	0.543103	1.036302	0.559334
6	1.109953	0.553136	1.042445	0.559568
7	1.009418	0.583621	0.990281	0.590525
8	0.975481	0.606897	0.973868	0.561210
9	0.900221	0.614111	0.907734	0.619606
10	0.835170	0.648276	0.911268	0.609756
11	0.849359	0.636207	0.908082	0.570356
12	0.808392	0.669861	0.907331	0.580206
13	0.753467	0.693103	0.994397	0.550657
14	0.764012	0.680172	0.857492	0.628987
15	0.668895	0.721254	0.889719	0.629925
16	0.694871	0.723276	0.869634	0.670028
17	0.651155	0.721552	0.841099	0.680816
18	0.647520	0.720690	0.903193	0.689493
19	0.592364	0.752613	0.859534	0.610460
20	0.599263	0.755172	0.819860	0.660413
21	0.583173	0.753448	0.823750	0.700516
22	0.557636	0.764808	0.841301	0.680347
23	0.524191	0.782759	0.927929	0.639775
24	0.531411	0.779310	0.818412	0.659944
25	0.470256	0.787456	0.792410	0.690197
26	0.468370	0.802586	0.933575	0.629925
27	0.508182	0.793966	0.774985	0.709428
28	0.469949	0.798780	0.788509	0.709662
29	0.447934	0.820690	0.799006	0.700516
30	0.408552	0.835345	0.822223	0.709193
31	0.398307	0.836237	0.893049	0.689962
32	0.352151	0.847414	1.113355	0.689962
33	0.358979	0.843103	1.037832	0.679644
34	0.367720	0.833621	0.974045	0.629456
35	0.402168	0.836237	0.980563	0.660178
36	0.367842	0.836207	1.003918	0.669090
37	0.358475	0.855172	1.180991	0.649859
38	0.396053	0.842334	1.007109	0.638837
39	0.305800	0.873276	0.976631	0.689962
40	0.339098	0.862069	0.879331	0.681051
41	0.293097	0.871951	1.096039	0.680816
42	0.300558	0.882759	1.061570	0.670497
43	0.311482	0.865517	0.962670	0.690432
44	0.308021	0.864111	1.052260	0.669794
45	0.319973	0.873276	0.843507	0.679644
46	0.296046	0.873276	0.991066	0.640009
47	0.295723	0.884146	0.981320	0.649156
48	0.276338	0.891379	1.079342	0.679644
49	0.272921	0.887069	0.924916	0.690197
