epoch	loss	acc	val_loss	val_acc
0	2.469357	0.139358	2.449481	0.177564
1	2.408898	0.200342	2.422388	0.178382
2	2.401711	0.202703	2.412761	0.178924
3	2.385177	0.226884	2.408324	0.178995
4	2.396816	0.203547	2.403927	0.177486
5	2.381832	0.211473	2.399458	0.178718
6	2.364446	0.223459	2.393826	0.179129
7	2.371030	0.212838	2.391814	0.178177
8	2.358443	0.214041	2.396864	0.177360
9	2.344305	0.222973	2.398285	0.190427
10	2.349494	0.212329	2.399495	0.194947
11	2.352881	0.222603	2.386499	0.178924
12	2.321827	0.222128	2.381143	0.190642
13	2.351259	0.215753	2.375404	0.187372
14	2.318862	0.226351	2.389110	0.194728
15	2.344535	0.212329	2.357714	0.186524
16	2.303195	0.231419	2.391430	0.188394
17	2.329079	0.228596	2.362503	0.204536
18	2.287364	0.228596	2.372459	0.186730
19	2.279780	0.226351	2.366397	0.186964
20	2.302869	0.219178	2.352728	0.191249
21	2.260043	0.228885	2.338740	0.209326
22	2.251293	0.232021	2.349652	0.196179
23	2.249818	0.239726	2.369982	0.190437
24	2.230461	0.234797	2.328902	0.205762
25	2.250906	0.246575	2.319678	0.186146
26	2.242910	0.236486	2.333922	0.226195
27	2.227443	0.245719	2.318213	0.191660
28	2.174113	0.264555	2.314285	0.204601
29	2.175340	0.279561	2.291949	0.205012
30	2.167868	0.252568	2.318391	0.217749
31	2.178876	0.270270	2.316796	0.207888
32	2.173329	0.255137	2.268460	0.238455
33	2.106029	0.283784	2.260810	0.212505
34	2.149604	0.260274	2.252667	0.235595
35	2.098977	0.256849	2.280362	0.233756
36	2.088157	0.274493	2.248144	0.232938
37	2.097807	0.261130	2.277971	0.261136
38	2.043577	0.302365	2.313237	0.252758
39	2.087646	0.289384	2.254643	0.226787
40	2.060800	0.304795	2.260355	0.231712
41	2.019755	0.304054	2.287846	0.230691
42	2.039623	0.309075	2.274468	0.218022
43	2.035788	0.292230	2.244648	0.242746
44	2.028784	0.310788	2.275105	0.221496
45	2.030602	0.303938	2.258606	0.235186
46	1.975879	0.333615	2.258749	0.230486
47	1.961503	0.321062	2.257511	0.221496
48	1.963134	0.326858	2.249474	0.257049
49	1.933762	0.327911	2.273996	0.244381
